Taxon	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	Glut.F1	Glut.F2	Glut.F3	Glut.F5	Chow.F1	Chow.F2	Chow.F3	Chow.KO.F2	Chow.M1	Chow.M2	Chow.KO.M2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae	0.0	0.0	0.0	0.0	1.44096371653e-05	0.0	0.000340052519222	0.0	0.0	0.0	0.0	0.0	3.11490090721e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae	7.55623729608e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.42886858331e-06	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae	0.000196462169698	0.000165993011694	0.000181368059271	0.000959629140246	0.000165710827401	0.014228623676	0.0601042827726	0.00184745855148	7.08810514698e-05	0.000182534587157	0.000213174163291	0.000182143330242	0.0359771054783	0.000122641509434	0.000260010400416	0.000186641159042
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae	1.51124745922e-05	8.29965058471e-06	0.0	7.38176261728e-06	0.0	0.00685234078838	0.000538416488769	1.36343804538e-05	1.01258644957e-05	1.88828883266e-05	1.81424819822e-05	8.27924228375e-06	1.55745045361e-05	2.83018867925e-05	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__[Mogibacteriaceae]	0.0	2.48989517541e-05	9.06840296355e-06	0.0	0.0	6.16402469719e-05	0.0	0.0	1.01258644957e-05	1.25885922177e-05	0.0	0.0	0.000210255811237	2.83018867925e-05	7.42886858331e-06	0.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae	0.43882848097	0.622980072539	0.415505155387	0.43840288184	0.314756909421	0.00210604177154	0.00685772580432	0.000749890924956	0.000192391425418	0.0032667396805	0.004594583562	0.0148198436879	0.00408052018845	0.387952830189	0.408676918505	0.078871443125
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae	1.51124745922e-05	0.0	0.0	2.21452878518e-05	1.44096371653e-05	4.10934979813e-05	9.44590331173e-06	1.36343804538e-05	0.0	6.29429610887e-06	2.26781024778e-05	8.27924228375e-06	7.78725226804e-06	1.88679245283e-05	1.48577371666e-05	5.44370047205e-05
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae	0.0	0.0	0.0	0.0	0.0	1.02733744953e-05	0.0	0.0	0.0	0.0	4.53562049556e-06	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55745045361e-05	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.000151134452988	0.0	0.0	0.0	4.53562049556e-06	0.0	0.000249192072577	9.43396226415e-06	7.42886858331e-06	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae	1.51124745922e-05	8.29965058471e-06	0.0	0.0	0.0	0.000472575226785	0.000784009974874	6.81719022688e-06	2.02517289914e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	7.55623729608e-06	0.0	0.0	0.0	0.0	0.000657495967701	0.00070844274838	0.0	0.0	0.0	0.0	0.0	0.0	9.43396226415e-06	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25885922177e-05	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	9.44590331173e-06	1.36343804538e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae	0.000317361966435	2.48989517541e-05	2.72052088907e-05	0.000147635252346	0.000489927663621	0.00122253156494	0.00397672529424	6.81719022688e-05	4.05034579827e-05	0.00365698603925	0.00803258389764	0.00597761292886	0.00330179496165	0.00125471698113	0.00200579451749	0.0148224187139
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	0.0	8.29965058471e-06	0.0	0.0	0.0	0.00188002753264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43396226415e-06	0.0	3.11068598403e-05
